date,ny,sf,Austin
20111001,63.4,62.7,72.2
20111002,58,59.9,67.6
20111003,53.3,58.8,69.4
20111004,64.2,58.7,68
20111005,58.5,57,72.4
20111006,57.9,56.7,77
20111007,61.8,56.8,82.3
20111008,69.3,56.7,78.9
20111009,71.2,60.1,68.6
20111010,68.7,61.6,68.7
20111011,61.8,61.5,70.3
20111012,63,64.3,75.3
20111013,66.9,67.1,76.6
20111014,61.7,64.6,66.6
20111015,61.8,61.6,68
20111016,62.8,61.8,70.6
20111017,60.8,62.8,71.1
20111018,62.1,60.8,70
20111019,60.8,56,61.6
20111020,62.1,59,57.4
20111021,65.1,62,64.3
20111022,55.6,63,72.4
