date,col1,col2,col3,col4
20111001,,,,5
20111002,58,59.9,67.6,5
20111003,53.3,,,
20111004,64.2,58.7,68,5
20111005,58.5,57,72.4,5
20111006,57.9,56.7,77,5
20111007,61.8,,,5
20111008,,56.7,78.9,5
20111009,71.2,60.1,,5
20111010,68.7,,68.7,5
20111011,,61.5,70.3,5
20111012,63,64.3,75.3,5
20111013,66.9,67.1,,5
20111014,,64.6,66.6,5
20111015,61.8,61.6,,5
20111016,62.8,61.8,70.6,5
20111017,60.8,62.8,71.1,5
20111018,,60.8,,5
20111019,60.8,,61.6,5
20111020,62.1,59,57.4,5
20111021,65.1,62,64.3,5
20111022,,,,5
